iter	Passed	Remaining
0	408	203906
1	691	172203
2	996	165154
3	1328	164762
4	1595	157977
5	1833	150927
6	2082	146661
7	2305	141782
8	2594	141569
9	2804	137417
10	3051	135663
11	3328	135372
12	3616	135476
13	3926	136311
14	4194	135638
15	4459	134892
16	4765	135394
17	5054	135353
18	5416	137134
19	5732	137580
20	5991	136653
21	6283	136528
22	6580	136477
23	6870	136259
24	7192	136650
25	7514	136995
26	7774	136197
27	8065	135963
28	8363	135829
29	8683	136048
30	8965	135635
31	9281	135738
32	9580	135579
33	9901	135706
34	10135	134653
35	10443	134603
36	10690	133774
37	10958	133235
38	11298	133556
39	11611	133531
40	11918	133432
41	12211	133161
42	12520	133063
43	12826	132924
44	13161	133078
45	13465	132902
46	13751	132542
47	14067	132472
48	14345	132033
49	14624	131622
50	14935	131494
51	15293	131760
52	15592	131502
53	15853	130939
54	16128	130492
55	16454	130460
56	16825	130763
57	17154	130729
58	17462	130525
59	17792	130476
60	18061	129982
61	18353	129657
62	18670	129506
63	18931	128972
64	19239	128754
65	19575	128723
66	19880	128479
67	20210	128394
68	20476	127905
69	20787	127695
70	21093	127451
71	21470	127631
72	21776	127379
73	22054	126960
74	22349	126646
75	22639	126305
76	22955	126108
77	23307	126101
78	23624	125897
79	23858	125254
80	24196	125163
81	24493	124858
82	24779	124493
83	25066	124137
84	25335	123696
85	25625	123358
86	25913	123017
87	26295	123110
88	26607	122874
89	26933	122696
90	27218	122333
91	27484	121886
92	27764	121508
93	27992	120904
94	28273	120536
95	28632	120497
96	28878	119979
97	29215	119844
98	29467	119357
99	29717	118870
100	30083	118846
101	30335	118368
102	30605	117963
103	30909	117694
104	31195	117354
105	31443	116873
106	31767	116679
107	32006	116169
108	32312	115910
109	32598	115574
110	32850	115123
111	33167	114901
112	33440	114526
113	33743	114255
114	33995	113809
115	34293	113522
116	34613	113308
117	34943	113122
118	35244	112841
119	35618	112790
120	35900	112447
121	36174	112082
122	36484	111826
123	36759	111465
124	37038	111114
125	37296	110704
126	37637	110540
127	38084	110681
128	38342	110273
129	38603	109872
130	38897	109567
131	39213	109321
132	39453	108866
133	39718	108485
134	40014	108186
135	40263	107765
136	40538	107411
137	40943	107403
138	41223	107062
139	41568	106889
140	41920	106734
141	42245	106505
142	42597	106344
143	42874	105995
144	43175	105706
145	43483	105433
146	43784	105141
147	44051	104770
148	44351	104478
149	44625	104127
150	44908	103794
151	45212	103513
152	45536	103274
153	45696	102669
154	46051	102501
155	46376	102265
156	46734	102102
157	47045	101833
158	47283	101406
159	47631	101217
160	47900	100858
161	48193	100552
162	48531	100337
163	48860	100105
164	49157	99805
165	49502	99600
166	49826	99353
167	50121	99050
168	50414	98740
169	50745	98505
170	51046	98211
171	51340	97904
172	51594	97521
173	51952	97337
174	52239	97015
175	52478	96608
176	52793	96340
177	53143	96136
178	53455	95860
179	53745	95548
180	54100	95348
181	54479	95189
182	54742	94826
183	55100	94628
184	55357	94257
185	55666	93975
186	55926	93609
187	56209	93284
188	56478	92936
189	56840	92738
190	57103	92382
191	57384	92053
192	57604	91629
193	57900	91326
194	58262	91128
195	58623	90926
196	58952	90673
197	59232	90344
198	59483	89972
199	59795	89693
200	60043	89318
201	60325	88995
202	60643	88724
203	60918	88391
204	61181	88041
205	61489	87757
206	61755	87412
207	61985	87017
208	62211	86620
209	62549	86378
210	62939	86205
211	63290	85978
212	63593	85686
213	63799	85264
214	64043	84895
215	64383	84652
216	64691	84367
217	65044	84140
218	65320	83812
219	65688	83603
220	66011	83335
221	66291	83013
222	66636	82772
223	66894	82423
224	67248	82192
225	67505	81843
226	67746	81475
227	68035	81165
228	68266	80787
229	68567	80492
230	68869	80198
231	69184	79919
232	69457	79593
233	69776	79318
234	70088	79036
235	70391	78743
236	70674	78427
237	70920	78072
238	71242	77799
239	71527	77487
240	71824	77189
241	72095	76862
242	72404	76575
243	72638	76210
244	72920	75896
245	73260	75643
246	73545	75332
247	73893	75084
248	74190	74786
249	74474	74474
250	74785	74189
251	75063	73872
252	75324	73538
253	75617	73235
254	75863	72888
255	76149	72580
256	76463	72298
257	76845	72079
258	77143	71782
259	77410	71455
260	77719	71168
261	78039	70890
262	78310	70569
263	78642	70301
264	78957	70019
265	79233	69701
266	79492	69370
267	79790	69071
268	80170	68845
269	80434	68518
270	80691	68185
271	81000	67897
272	81322	67619
273	81673	67365
274	81966	67063
275	82279	66777
276	82564	66468
277	82836	66149
278	83188	65894
279	83530	65631
280	83843	65343
281	84171	65069
282	84483	64780
283	84816	64508
284	85153	64238
285	85435	63927
286	85758	63646
287	86083	63367
288	86375	63063
289	86691	62776
290	87051	62521
291	87324	62203
292	87607	61893
293	87890	61583
294	88165	61267
295	88580	61048
296	88891	60757
297	89118	60409
298	89449	60131
299	89732	59821
300	90029	59521
301	90315	59213
302	90625	58921
303	90970	58651
304	91248	58339
305	91508	58015
306	91875	57759
307	92171	57457
308	92530	57195
309	92819	56889
310	93115	56587
311	93502	56341
312	93771	56023
313	94133	55760
314	94416	55451
315	94729	55158
316	95072	54884
317	95317	54552
318	95613	54250
319	95901	53944
320	96196	53642
321	96497	53343
322	96865	53081
323	97155	52776
324	97416	52455
325	97690	52141
326	98014	51854
327	98302	51548
328	98597	51246
329	98894	50945
330	99230	50664
331	99544	50372
332	99868	50084
333	100137	49768
334	100378	49439
335	100701	49151
336	101007	48855
337	101258	48532
338	101543	48225
339	101793	47903
340	102093	47603
341	102398	47306
342	102695	47006
343	102973	46697
344	103216	46372
345	103524	46077
346	103874	45800
347	104180	45504
348	104450	45191
349	104659	44853
350	105017	44580
351	105357	44297
352	105672	44005
353	106023	43727
354	106353	43439
355	106624	43128
356	106906	42822
357	107172	42509
358	107485	42215
359	107842	41938
360	108132	41635
361	108393	41321
362	108663	41010
363	109061	40748
364	109395	40461
365	109675	40154
366	109942	39842
367	110229	39538
368	110577	39256
369	110874	38955
370	111207	38667
371	111548	38382
372	111805	38067
373	112112	37770
374	112421	37473
375	112682	37161
376	113021	36874
377	113343	36581
378	113668	36290
379	114005	36001
380	114277	35693
381	114627	35408
382	114906	35102
383	115225	34807
384	115544	34513
385	115817	34205
386	116127	33907
387	116444	33612
388	116728	33308
389	117051	33014
390	117420	32733
391	117709	32430
392	118022	32133
393	118291	31824
394	118621	31532
395	118923	31232
396	119273	30944
397	119624	30657
398	119994	30374
399	120303	30075
400	120652	29786
401	120920	29478
402	121231	29179
403	121550	28883
404	121865	28585
405	122167	28284
406	122443	27978
407	122730	27674
408	122963	27358
409	123284	27062
